HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
332.16	114193.90	763.97	758.56	107079.72	2.3
332.16	114193.90	830.40	827.58	106274.83	2.5
332.16	114193.90	930.05	926.18	105131.38	2.8
332.16	114193.90	996.48	995.20	104333.32	3.0
332.16	114193.90	1096.13	1093.80	103198.92	3.3
332.16	114193.90	1162.56	1153.94	102242.62	3.5
332.16	114193.90	1262.21	1252.54	101117.74	3.8
332.16	114193.90	1328.64	1323.88	100334.28	4.0
332.16	114193.90	1428.29	1424.80	99387.05	4.3
332.16	114193.90	1494.72	1493.82	98735.09	4.5
332.16	114193.90	1660.80	1656.16	96996.72	5.0
