HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
548.31	129795.06	2083.58	2079.02	113027.58	3.8
548.31	129795.06	2193.24	2192.02	111889.40	4.0
548.31	129795.06	2357.73	2350.22	110296.97	4.3
548.31	129795.06	2467.39	2463.22	109160.08	4.5
548.31	129795.06	2741.55	2734.42	106439.64	5.0
380.60	112852.44	494.78	491.37	110385.81	1.3
380.60	112852.44	570.90	570.25	108828.27	1.5
380.60	112852.44	608.96	600.19	108203.45	1.6
380.60	112852.44	647.02	639.63	107357.53	1.7
380.60	112852.44	685.08	679.07	106577.28	1.8
380.60	112852.44	761.20	757.95	105357.83	2.0
380.60	112852.44	875.38	866.41	103824.55	2.3
380.60	112852.44	951.50	945.60	102915.61	2.5
380.60	112852.44	1065.68	1063.92	101803.65	2.8
380.60	112852.44	1141.80	1132.94	101213.42	3.0
380.60	112852.44	1255.98	1251.26	100217.77	3.3
380.60	112852.44	1332.10	1330.14	99564.08	3.5
380.60	112852.44	1446.28	1438.91	98696.80	3.8
380.60	112852.44	1522.40	1517.79	98156.18	4.0
380.60	112852.44	1636.58	1636.11	97352.45	4.3
380.60	112852.44	1712.70	1705.13	96885.95	4.5
380.60	112852.44	1903.00	1902.64	95560.50	5.0
332.16	114193.90	431.81	422.74	112599.93	1.3
332.16	114193.90	498.24	491.76	110954.56	1.5
332.16	114193.90	531.46	531.20	110191.12	1.6
332.16	114193.90	564.67	560.78	109749.54	1.7
332.16	114193.90	597.89	590.36	109313.97	1.8
332.16	114193.90	664.32	659.38	108359.36	2.0
332.16	114193.90	763.97	758.56	107079.72	2.3
332.16	114193.90	830.40	827.58	106274.83	2.5
332.16	114193.90	930.05	926.18	105131.38	2.8
332.16	114193.90	996.48	995.20	104333.32	3.0
332.16	114193.90	1096.13	1093.80	103198.92	3.3
332.16	114193.90	1162.56	1153.94	102242.62	3.5
332.16	114193.90	1262.21	1252.54	101117.74	3.8
332.16	114193.90	1328.64	1321.56	100334.28	4.0
332.16	114193.90	1428.29	1422.48	99387.05	4.3
332.16	114193.90	1494.72	1491.50	98735.09	4.5
332.16	114193.90	1660.80	1653.81	96983.34	5.0
